word	frequency	sources
បាន	179765.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ជា	156158.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,names.txt,seafreq.txt
ដែល	134811.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
មាន	134322.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,names.txt,seafreq.txt
នៅ	127345.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ការ	125516.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
របស់	102451.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
និង	102154.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ទៅ	97098.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ក្នុង	94262.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt,villages.txt
ថា	93921.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
នេះ	88083.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
នោះ	86954.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ឲ្យ	85069.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,TD.txt,seafreq.txt
ពី	84524.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt,villages.txt
ហើយ	84108.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
អ្នក	78027.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
នឹង	75205.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
មិន	73145.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
មក	71197.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
លោក	66872.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt,villages.txt
គេ	64753.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
តែ	61475.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,names.txt,seafreq.txt
ទី	56934.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,names.txt,seafreq.txt,villages.txt
ដោយ	55491.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ក៏	53889.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ខ្ញុំ	53792.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
មួយ	53577.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,names.txt,seafreq.txt,villages.txt
ទាំង	53162.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
យើង	51471.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ធ្វើ	50855.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ត្រូវ	48531.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
យក	45153.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ថ្ងៃ	41297.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
សម	41025.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,names.txt,seafreq.txt
ដល់	40991.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
គ្នា	40524.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
តាម	39443.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ព្រះ	39422.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt,villages.txt
គឺ	39131.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ពួក	38798.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt,villages.txt
ទេ	38414.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
លើ	35362.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt,villages.txt
នៃ	35042.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ខែ	34192.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,names.txt,seafreq.txt
ពេល	32032.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ឆ្នាំ	31405.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ទ្រង់	30959.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ទៀត	30948.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ដែរ	30554.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
រប	30235.00	RAC-Khmer-Dict-2022,seafreq.txt
រក	29668.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ដើម្បី	27760.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
បង	27352.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
មន	26452.00	KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,seafreq.txt,villages.txt
អាច	25876.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ឡើង	25771.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ជន	25743.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ណា	25355.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,names.txt,seafreq.txt
មនុស្ស	25005.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ខ្លួន	24311.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ឯង	24174.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
សង	24107.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,names.txt,seafreq.txt
បក	23923.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,seafreq.txt
ដូច	23831.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
គាត់	23812.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
កម	23737.00	KHOV.txt,RAC-Khmer-Dict-2022,seafreq.txt
វិញ	23570.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ខ្មែរ	23519.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,places.txt,seafreq.txt,villages.txt
នក	23452.00	KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,seafreq.txt
ចេញ	22821.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
កម្ពុជា	22684.00	HC.txt,RAC-Khmer-Dict-2022,places.txt,seafreq.txt
អស់	22465.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
បើ	22338.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
បន	22284.00	KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,seafreq.txt
ស្រុក	22277.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
យ៉ាង	22151.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ដឹង	21294.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
សូម	20959.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ផង	20493.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
រស	19497.00	KHOV.txt,RAC-Khmer-Dict-2022,seafreq.txt
ឃើញ	19341.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
កូន	19309.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ចូល	19012.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ទទួល	18710.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ដាក់	18591.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ប្រទេស	18554.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
វា	18209.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ខាង	18057.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ឡើយ	18026.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ចិត្ត	17822.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,names.txt,seafreq.txt
សេចក្តី	17303.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
គម	16915.00	KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,seafreq.txt
រាល់	16701.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ច្រើន	16634.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
អ្វី	16496.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
តើ	16321.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ក្រុង	16080.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
និយាយ	16051.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
នាំ	15962.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
រម	15907.00	RAC-Khmer-Dict-2022,seafreq.txt
អន	15780.00	RAC-Khmer-Dict-2022,names.txt,seafreq.txt
ចុះ	14912.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ចំនួន	14808.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ភាព	14641.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,names.txt,seafreq.txt
ដ៏	14353.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ចំពោះ	14186.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
រហ	14173.00	RAC-Khmer-Dict-2022,seafreq.txt
មុខ	14150.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ឱ្យ	14106.00	RAC-Khmer-Dict-2022,seafreq.txt
ប៉ុន្តែ	14027.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ព្រោះ	13991.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
នូវ	13842.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,names.txt,seafreq.txt
ពាក្យ	13782.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
មើល	13715.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
តម	13595.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
រង	13474.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
សម្រាប់	13351.00	DFD.txt,HC.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
កាល	13283.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
នាង	12984.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,names.txt,seafreq.txt
ម្នាក់	12938.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ព្រះអង្គ	12912.00	HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt,villages.txt
ប្រើ	12839.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ចង	12783.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt,villages.txt
